SPECTRUM DATA FILE
SpectrumCount:	2
PixelCount:	2500
UserName:	XCS Laser
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	Broadcom
DeviceSerialNo:	21444

Name:	last spectrum	last spectrum
Date:	2020-11-23T16:39:45.7650000-08:00	2020-11-23T16:52:36.9100000-08:00
ExposureTime:	0.1	0.1
TemporalAvg:	1	1
IntensityUnit:	normalizedCounts	normalizedCounts
CCDLoadLevel:	0.5133696	0.4760772
Temperature:	25.77332	26.1875
DiagramColor:	200	16711680
ProcessingSteps:	847	847

Wavelength [nm]	Intensity1	Intensity2
202.5763	-0.6500414	-0.2895502
202.9191	-0.4900674	-0.6296356
203.2618	0.3565348	-1.298716
203.6046	0.8629171	-1.160266
203.9473	0.7803635	-0.8360344
204.29	0.6332639	0.4656503
204.6328	0.549157	1.577715
204.9755	0.04205399	1.677971
205.3182	-0.4996181	0.8652483
205.6609	-0.3199828	-0.7254848
206.0036	-0.3912896	0.06226566
206.3463	-0.7630649	0.8571557
206.6889	-0.801413	1.340977
207.0316	-0.2623508	-0.7797111
207.3743	0.9000627	-1.087991
207.7169	0.4353826	-0.4642725
208.0596	-0.01502299	0.549223
208.4022	-1.424987	1.074307
208.7449	-1.091287	0.8649014
209.0875	-0.7015718	0.796138
209.4301	0.474373	-0.0695269
209.7727	0.3132604	-0.9365584
210.1153	0.4383409	-1.470111
210.4579	0.805165	-0.7129436
210.8005	1.27936	0.3603246
211.1431	0.640248	0.7836018
211.4857	0.6611892	0.6143581
211.8282	0.6602768	0.2361626
212.1708	0.3538	0.8160682
212.5134	0.3374112	0.7527447
212.8559	1.463998	0.5077044
213.1984	0.8154405	0.1834465
213.541	-0.0426764	-0.1098462
213.8835	-0.1459173	-1.478283
214.226	-0.01831627	-0.8819413
214.5685	-1.15966	-0.4018669
214.911	-0.9009429	0.04359773
215.2535	-0.5368756	-0.09194384
215.596	0.106148	0.7120555
215.9384	0.26404	1.330992
216.2809	1.671036	1.616807
216.6234	1.465905	0.4165929
216.9658	1.338542	-0.9804582
217.3083	0.0007725219	-1.658875
217.6507	0.7261847	-0.7466387
217.9931	0.9602683	-0.7395801
218.3356	1.714967	0.2256642
218.678	1.547715	-0.305992
219.0204	1.223865	-0.346008
219.3628	-0.7188495	0.1601065
219.7052	-0.6557429	0.2750849
220.0475	0.3650394	-0.2754415
220.3899	0.8905862	-1.067567
220.7323	0.3813002	-0.3386089
221.0746	1.408121	-0.6572886
221.417	2.018051	-0.7995188
221.7593	1.487471	-1.704465
222.1017	0.3510815	-2.541531
222.444	0.275854	-1.850144
222.7863	-0.4487349	-0.8674437
223.1286	0.2512456	-0.115357
223.4709	0.9486689	-0.4407286
223.8132	1.688085	0.2930827
224.1555	0.792031	1.111922
224.4978	-0.01542925	1.748128
224.8401	-0.5716426	1.637247
225.1824	-0.2464554	0.5491315
225.5246	0.6400884	0.4237412
225.8669	-0.01522811	-0.6513247
226.2091	-0.3184615	-0.8869727
226.5513	0.7014173	-0.9407369
226.8936	1.502873	0.3559724
227.2358	0.9845883	0.1455622
227.578	0.5092402	-0.1025679
227.9202	0.7767294	1.026878
228.2624	0.7222797	2.120515
228.6046	0.8027535	1.501229
228.9468	0.6433486	-0.2310043
229.2889	-0.009138128	-1.171604
229.6311	-0.9940813	-0.6736909
229.9733	-0.7785987	0.2012391
230.3154	-0.3352865	0.8321313
230.6576	-0.3889117	0.07335404
230.9997	-0.01922835	-0.4618987
231.3418	0.3566363	-0.3619393
231.6839	0.6540768	-0.2029802
232.026	-0.1644492	-0.04810994
232.3681	-0.3581325	-0.3546358
232.7103	-0.9003534	0.6270252
233.0523	-0.5679102	0.846841
233.3944	-0.7657428	1.333363
233.7365	-0.4903911	0.2733599
234.0786	-0.08076547	0.2261809
234.4206	1.031532	0.4649802
234.7627	1.264701	1.01735
235.1047	1.527514	0.6179773
235.4467	0.7113567	0.8879039
235.7888	0.2994966	1.033867
236.1308	-0.3773828	0.8069046
236.4728	0.542969	0.2313807
236.8148	1.358416	0.4057247
237.1568	0.7716526	0.4751678
237.4988	0.01725924	-0.1446101
237.8407	0.04498219	-0.2417094
238.1827	0.9765278	0.7330486
238.5247	0.6768304	1.663636
238.8666	0.9208263	0.5269449
239.2086	0.3689612	-1.186711
239.5505	0.02445849	-1.201968
239.8924	0.1838468	-0.09592573
240.2344	0.6968757	-0.05220419
240.5763	1.281702	-0.2358025
240.9182	1.381855	-0.290359
241.2601	0.9738768	0.2027269
241.602	0.1982096	-0.05436268
241.9438	0.2731778	0.5199308
242.2857	-0.04189918	0.07215937
242.6276	-0.6461716	-0.2080648
242.9694	-0.3795589	-0.5416214
243.3113	0.3237889	-0.299347
243.6531	0.8670779	-0.4434273
243.995	0.9802942	-0.2944692
244.3368	1.32495	-0.004472559
244.6786	0.656001	-0.2149031
245.0204	0.405261	-0.5554878
245.3622	0.2944563	-0.1042528
245.704	0.257226	0.2035255
246.0458	0.5234604	0.3871936
246.3876	0.7110586	0.5131913
246.7294	0.4404342	0.5660964
247.0711	-0.06824059	-0.2250249
247.4129	0.2430905	-1.418839
247.7546	1.006335	-0.8063909
248.0964	1.353829	-0.1608561
248.4381	1.170104	0.8285437
248.7798	0.3844585	0.4665247
249.1215	-0.2137425	0.3070867
249.4632	-0.2560906	-1.027793
249.8049	-0.7465351	-1.046641
250.1466	-0.1954332	-0.4122746
250.4883	0.1326564	0.2137304
250.83	1.069821	0.7448512
251.1716	0.6460313	1.230864
251.5133	0.3005502	1.50974
251.8549	-0.3535131	0.4186236
252.1966	-0.2324352	-0.361154
252.5382	0.8670936	-0.3396862
252.8799	2.163192	0.7099525
253.2215	1.661047	1.325842
253.5631	0.2671876	1.15784
253.9047	0.03116443	0.5901692
254.2463	0.946305	-0.2660899
254.5879	-0.630139	-0.5376515
254.9294	-1.64961	0.01016331
255.271	-0.9426181	1.410495
255.6126	-0.01708127	0.977503
255.9541	-0.5119876	1.001679
256.2957	-0.6956999	0.2898207
256.6372	0.6213527	0.01072838
256.9787	0.5925428	-1.103006
257.3203	-0.03220595	-0.597122
257.6618	-0.3253294	-0.1467209
258.0033	0.3090511	-0.4341353
258.3448	-0.03736021	-0.01214454
258.6862	-0.4731934	0.464189
259.0277	0.3845502	0.3787224
259.3692	0.8852468	-1.37982
259.7107	0.9862732	-1.602112
260.0521	0.8495039	-1.116578
260.3936	0.9244993	-0.09950941
260.735	0.542187	0.326742
261.0764	0.5670894	0.9885737
261.4179	0.8230876	0.9447972
261.7593	0.3855554	-0.02447264
262.1007	-0.7243532	-0.4396081
262.4421	-0.7164071	-0.02965732
262.7835	-0.2206239	0.4417637
263.1248	-0.4194333	0.2344513
263.4662	-0.07512788	-0.3775631
263.8076	1.275605	-0.5667499
264.149	1.35001	-1.202934
264.4903	0.2532996	-0.1763816
264.8316	-0.1658416	0.5648262
265.173	0.3948811	1.187691
265.5143	1.049477	1.056971
265.8556	0.9048831	0.56135
266.1969	0.3361073	-0.2183959
266.5382	0.2170584	-0.8087415
266.8795	1.30103	-0.1832123
267.2208	0.5111499	0.4780978
267.5621	-0.1222653	0.4010577
267.9034	-0.5301326	-1.027703
268.2446	0.259636	-2.011533
268.5858	0.2071127	-0.1182206
268.9271	0.003687614	1.206272
269.2683	-0.1160492	0.8626836
269.6096	-0.5182108	-0.3705871
269.9508	-1.125188	0.4407195
270.292	-1.10915	0.6906834
270.6332	-0.1968498	0.3781058
270.9744	1.351824	0.1314388
271.3156	1.168126	0.7111143
271.6567	-0.01498073	0.5730665
271.9979	-0.6162518	-0.759715
272.3391	0.8980775	-0.9669353
272.6802	1.125173	-0.9296892
273.0214	0.2785155	-0.2906244
273.3625	-0.4430154	0.4866572
273.7036	-0.794935	1.472137
274.0447	-1.304657	0.7661816
274.3858	-0.8631876	-0.09767599
274.727	0.496245	-0.3890923
275.0681	0.4548008	0.1098032
275.4091	-0.2972331	1.026175
275.7502	-1.290831	1.462301
276.0913	-0.8400719	1.186981
276.4323	-0.2577144	0.6062531
276.7734	0.06633475	-0.1028307
277.1144	0.2623559	-0.8866
277.4555	0.2081448	-1.491876
277.7965	-0.7087281	-1.480481
278.1375	-0.4370316	-1.249632
278.4785	1.187469	-1.074195
278.8195	1.572837	-0.6391816
279.1605	0.3756642	0.512142
279.5015	-0.0488841	1.038211
279.8425	0.100038	0.2724352
280.1834	0.138142	-0.4454871
280.5244	0.5761051	-1.034869
280.8654	0.8993991	-1.088756
281.2063	1.011184	-0.5455609
281.5472	0.2443221	0.1064308
281.8882	0.3387085	0.4533719
282.2291	0.4185536	0.4315429
282.57	1.224659	-0.3776616
282.9109	0.5562642	-0.6259581
283.2518	0.02220982	0.02863431
283.5927	-1.178535	0.674177
283.9335	-0.1636938	-0.0007198936
284.2744	0.4542628	-0.2694964
284.6153	1.386577	-0.3277626
284.9561	0.9833066	-0.5058264
285.297	0.6304885	0.02687845
285.6378	-0.5310928	-0.3786276
285.9786	-0.9738958	-0.4082563
286.3194	-0.1006074	-0.9044613
286.6602	0.3078302	-0.1892452
287.001	1.202238	-0.6657716
287.3418	1.146364	-1.465494
287.6826	0.6985602	-0.8196366
288.0234	-0.1649514	0.3392939
288.3642	-0.4889057	0.2187309
288.7049	0.2048343	-0.956711
289.0457	0.03685502	-0.9120104
289.3864	-0.2083068	0.5537501
289.7271	0.3921424	1.057758
290.0678	1.641245	1.243286
290.4086	1.891286	0.6688062
290.7493	1.093162	0.2569244
291.09	0.7046521	-0.3943325
291.4307	0.5785429	-0.7445118
291.7713	0.965318	-0.6369674
292.112	0.1760307	-0.5180479
292.4527	-0.7695931	-0.06709944
292.7933	-0.9243711	-0.1856965
